name,adname,type,rating,cost
荆九爷爆炒桥头三嫩(滨江滨悦城店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,55
荆九爷爆炒桥头三嫩(新天地店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,55
小菜园新徽菜(杭州东站万象汇店),上城区,餐饮服务;中餐厅;中餐厅,4.7,55
一席地·本地鸡窝(金田店),西湖区,餐饮服务;中餐厅;火锅店,4.7,55
東家猪杂粥覓味馆·干蒸菜(杭州萧杭人家店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,56
马丫东北饭儿(未来科技城店),余杭区,餐饮服务;中餐厅;中餐厅,4.7,56
西湖D11,拱墅区,餐饮服务;中餐厅;综合酒楼,4.7,56
荆九爷爆炒桥头三嫩(下沙店),钱塘区,餐饮服务;中餐厅;中餐厅,4.7,57
湘约屋坎上·土家民族菜·不改湘西味(三花国际总店),上城区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,57
大俺徽地锅鸡(御金台),萧山区,餐饮服务;中餐厅;中餐厅,4.7,57
幸福年铁锅炖熏酱小酒馆(高沙店),钱塘区,餐饮服务;餐饮相关场所;餐饮相关,4.7,57
23号墙门菜,拱墅区,餐饮服务;中餐厅;中餐厅,4.7,58
孔岳冒菜(无忧店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,58
龍歌自助小火锅(银隆百货A座店),萧山区,餐饮服务;中餐厅;火锅店,4.7,58
孔岳冒菜(彭埠店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,59
山重浪重庆耙火锅(杭州萧山店),萧山区,餐饮服务;中餐厅;火锅店,4.7,59
迎春·东北老菜儿(西湖店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,59
屠夫汉堡(中山北路店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,59
签约·肆酒撸串·海鲜烧烤季·团建精酿酒馆(滨江店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,60
137烧烤龙虾烤鱼.新疆羊肉串(南大街店),临平区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,60
老嘎达东北菜(原东北菜馆高沙店),钱塘区,餐饮服务;中餐厅;东北菜,4.7,61
大俺徽地锅鸡(太平门直街),上城区,餐饮服务;中餐厅;中餐厅,4.7,62
杨光姐?东北老家(西湖文化广场店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,62
荆九爷爆炒桥头三嫩(西溪留下店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,63
大俺徽柴火鸡·地锅鸡(皓月路店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,63
夏大厨铁锅炖·东北菜·烧烤(钱江世纪城店),萧山区,餐饮服务;中餐厅;东北菜,4.7,63
马丫东北饭儿(金昌路店),余杭区,餐饮服务;中餐厅;东北菜,4.7,64
哈尔滨东北家常菜美玲家,钱塘区,餐饮服务;中餐厅;中餐厅,4.7,64
禧满牛贵州黄牛肉馆.干锅火锅(金田店),西湖区,餐饮服务;中餐厅;火锅店,4.7,64
Shake Shack(杭州万象城店),上城区,餐饮服务;快餐厅;快餐厅,4.7,65
烤匠麻辣烤鱼(星光大道店),滨江区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,65
烤匠麻辣烤鱼(杭州远洋乐堤港店),拱墅区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,65
老六小炒肉(滨江银泰店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,65
赵府私厨·老杭帮菜(河坊街店),上城区,餐饮服务;中餐厅;中餐厅,4.7,66
广源东北菜(文创大厦店),钱塘区,餐饮服务;中餐厅;东北菜,4.7,66
老地方川菜(元成东盛家园店),钱塘区,餐饮服务;中餐厅;四川菜(川菜),4.7,67
幺妹鱼庄(明星路店),萧山区,餐饮服务;中餐厅;海鲜酒楼,4.7,67
何小姐鲜牛肉火锅(通惠中路店),萧山区,购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,4.7,67
四季大树底衢州菜(四季青店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,68
東大方(杭州奥体中心店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,68
東大方(杭州金沙湖店),钱塘区,餐饮服务;餐饮相关场所;餐饮相关,4.7,68
東大方(杭州延安路店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,68
一席地·本地鸡窝(邮电路店),上城区,餐饮服务;中餐厅;火锅店,4.7,68
東大方(杭州西城新座店),西湖区,餐饮服务;中餐厅;浙江菜,4.7,68
東大方(华瑞汇金中心店),萧山区,餐饮服务;中餐厅;浙江菜,4.7,68
東大方(临平东湖路店),临平区,餐饮服务;餐饮相关场所;餐饮相关,4.7,68
東大方(杭州紫金梦想店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,68
東大方(杭州世纪城开元店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,68
川霸川菜,钱塘区,餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;火锅店,4.7,68
朱欢喜老火锅(高沙店),钱塘区,餐饮服务;中餐厅;火锅店,4.7,68
十昌老火锅,萧山区,餐饮服务;中餐厅;火锅店,4.7,68
锅美丽水煮鱼(龙湖杭州滨江天街店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,68
湘辣湘食·湘菜馆(市心北路店),萧山区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,68
徽姐姐徽菜·臭鳜鱼(海蓝·天行国际店),拱墅区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,68
忆味东北美食体验基地,临平区,餐饮服务;中餐厅;中餐厅,4.7,68
小牛滚滚贵州黄牛肉火锅(萧山博地中心店),萧山区,餐饮服务;中餐厅;火锅店,4.7,68
星期八咖啡馆·日咖夜酒(之江店),上城区,餐饮服务;咖啡厅;咖啡厅|生活服务;生活服务场所;生活服务场所,4.7,68
东北杨光?碳烤鲜牛肉(天虹店),上城区,餐饮服务;中餐厅;中餐厅,4.7,69
川味泡菜馆(黄姑山路店),西湖区,餐饮服务;中餐厅;四川菜(川菜),4.7,69
小湘厨滨康店,滨江区,餐饮服务;中餐厅;中餐厅,4.7,69
郭包又东北菜(北软中天园店),拱墅区,餐饮服务;中餐厅;东北菜,4.7,69
野火烧烤·东北菜,上城区,餐饮服务;中餐厅;中餐厅,4.7,69
穆羊客清真火锅烤肉一体,上城区,餐饮服务;中餐厅;清真菜馆,4.7,69
渝妹重庆火锅,余杭区,餐饮服务;中餐厅;火锅店,4.7,70
piccolo披萨店,上城区,餐饮服务;快餐厅;快餐厅,4.7,70
衢八鲜?开化山水菜,上城区,餐饮服务;中餐厅;浙江菜,4.7,71
柴米夫妻四川自贡盐帮菜(新塘店),上城区,餐饮服务;中餐厅;四川菜(川菜),4.7,71
857铁锅炖 东北饭儿,上城区,餐饮服务;中餐厅;中餐厅,4.7,71
郭包又东北菜(西兴店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,71
锦遇·唐风宋韵灶台鱼里·正宗淳牌鱼,淳安县,餐饮服务;中餐厅;中餐厅,4.7,71
小树林老成都火锅串串香·盖碗茶(宠物友好店),滨江区,餐饮服务;中餐厅;火锅店,4.7,72
正哥点心专家(国大广场店),拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,72
东北一锅香(丰谭路城西店),西湖区,餐饮服务;中餐厅;东北菜,4.7,72
幸会东北烤肉,滨江区,餐饮服务;中餐厅;中餐厅,4.7,72
马丫·东北饭儿(中豪江河时代店),上城区,餐饮服务;中餐厅;中餐厅,4.7,73
川婆婆酸菜鱼(市心中路店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,73
大俺徽地锅鸡(转塘象山国际店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,73
tea'stone喝好茶的店(杭州万象城店),上城区,餐饮服务;冷饮店;冷饮店,4.7,73
西北羊肉馆羊蝎子火锅烧烤(万邦大楼店),上城区,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;西北菜,4.7,74
贰姐川菜,西湖区,餐饮服务;餐饮相关场所;餐饮相关,4.7,74
晚酒·阿英川菜馆(奥体金帝店),萧山区,餐饮服务;中餐厅;四川菜(川菜),4.7,74
大俺徽地锅鸡(绿都百瑞店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,74
凯旋烧烤(凯旋路),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,74
江南宴宴会中心,临平区,餐饮服务;中餐厅;中餐厅,4.7,74
碳二鹤岗小串(景芳店),上城区,餐饮服务;中餐厅;中餐厅,4.7,75
周姐焦烤鸡架·东北烧烤夜宵(朝龙汇店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,75
桐湾大院·桐庐菜·夜宵烧烤(滨康路店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,75
石灰石烧鸡公(嘉里中心店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,75
垚合牛府黄牛肉火锅(合生国贸中心店),西湖区,餐饮服务;中餐厅;火锅店,4.7,75
郭淑芬鲜切牛肉自助老火锅(钱江世纪城店),萧山区,餐饮服务;中餐厅;火锅店,4.7,75
洪星渔庄·临平菜(星万里店),临平区,餐饮服务;中餐厅;浙江菜,4.7,75
東大方(杭州潮王路店),拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,76
摆笼酸菜鱼庄·精品川菜(拱秀路店),萧山区,餐饮服务;中餐厅;四川菜(川菜),4.7,76
马丫东北饭儿(江南大道店),滨江区,餐饮服务;中餐厅;东北菜,4.7,76
兴玉·东北烧烤火锅(新塘店),上城区,餐饮服务;中餐厅;东北菜|餐饮服务;中餐厅;火锅店,4.7,77
费大厨辣椒炒肉(西溪天街店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,77
小牛滚滚贵州黄牛肉火锅(通策广场店),滨江区,餐饮服务;中餐厅;火锅店,4.7,77
王道小乐惠,滨江区,餐饮服务;中餐厅;中餐厅,4.7,78
城子岭铁锅炖,萧山区,餐饮服务;中餐厅;中餐厅,4.7,78
小牛滚滚贵州黄牛肉火锅(国芳天街店),上城区,餐饮服务;中餐厅;火锅店,4.7,78
开化食府(新塘路店)(暂停营业),上城区,餐饮服务;中餐厅;中餐厅,4.7,79
玖十八烤鱼酒馆·龙虾·烧烤(芳塘店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,79
四灶儿·地道杭帮菜(西湖景区·吴山广场店),上城区,餐饮服务;中餐厅;中餐厅,4.7,79
四灶儿·地道杭帮菜(和平德信店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,79
蔡奋斗·老火锅(杭州首店),上城区,餐饮服务;中餐厅;火锅店,4.7,79
幺妹鱼庄(元成时代广场店),钱塘区,餐饮服务;中餐厅;四川菜(川菜),4.7,79
躲姨家火锅,滨江区,餐饮服务;中餐厅;火锅店,4.7,80
摆笼酸菜鱼庄·精品川菜(荣星名座店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,80
川味观(凤起店),拱墅区,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;四川菜(川菜),4.7,80
巴渝川菜(秋涛路店),上城区,餐饮服务;中餐厅;中餐厅,4.7,80
付小姐在成都(滨江店),滨江区,餐饮服务;中餐厅;火锅店,4.7,80
吃饭皇帝大·土家民族菜(龙湖天街店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,80
